iter	Passed	Remaining
403	11059	43690
404	11087	43666
405	11114	43635
406	11126	43549
407	11150	43508
408	11172	43460
409	11193	43408
410	11220	43379
411	11239	43321
412	11261	43272
413	11284	43229
414	11304	43175
415	11325	43125
416	11345	43070
417	11365	43014
418	11386	42964
419	11406	42909
420	11427	42858
421	11458	42847
422	11462	42734
423	11494	42726
424	11518	42684
425	11539	42634
426	11561	42588
427	11581	42539
428	11603	42492
429	11623	42439
430	11645	42394
431	11668	42352
432	11692	42314
433	11715	42274
434	11746	42260
435	11769	42220
436	11794	42186
437	11826	42177
438	11863	42185
439	11894	42170
440	11922	42148
441	11952	42130
442	11978	42099
443	12006	42075
444	12028	42033
445	12052	41993
446	12078	41962
447	12098	41912
448	12119	41864
449	12138	41811
450	12158	41758
451	12178	41707
452	12204	41677
453	12225	41630
454	12229	41525
455	12248	41471
456	12269	41426
457	12288	41372
458	12311	41334
459	12332	41286
460	12354	41244
461	12378	41206
462	12406	41186
463	12436	41167
464	12455	41116
465	12480	41082
466	12501	41038
467	12521	40990
468	12543	40946
469	12564	40901
470	12571	40809
471	12591	40762
472	12613	40722
473	12637	40684
474	12658	40640
475	12680	40597
476	12700	40550
477	12720	40504
478	12741	40457
479	12761	40412
480	12782	40368
481	12803	40324
482	12823	40277
483	12849	40246
484	12877	40225
485	12901	40190
486	12923	40149
487	12942	40101
488	12962	40054
489	12983	40010
490	13006	39971
491	13035	39955
492	13057	39915
493	13092	39914
494	13113	39871
495	13140	39845
496	13168	39822
497	13223	39883
498	13345	40143
499	13466	40400
500	13532	40488
501	13617	40634
502	13658	40648
503	13661	40551
504	13683	40507
505	13703	40459
506	13725	40418
507	13745	40370
508	13766	40326
509	13787	40280
510	13808	40236
511	13831	40196
512	13853	40155
513	13874	40111
514	13893	40063
515	13919	40032
516	13948	40009
517	13993	40035
518	14033	40044
519	14081	40077
520	14112	40061
521	14140	40036
522	14168	40013
523	14192	39978
524	14218	39946
525	14238	39900
526	14262	39864
527	14283	39819
528	14302	39772
529	14324	39730
530	14346	39687
531	14370	39654
532	14406	39652
533	14442	39649
534	14474	39635
535	14502	39610
536	14523	39566
537	14537	39505
538	14562	39472
539	14585	39435
540	14608	39396
541	14640	39384
542	14663	39346
543	14693	39326
544	14716	39289
545	14737	39245
546	14761	39210
547	14763	39119
548	14789	39088
549	14813	39054
550	14834	39011
551	14855	38968
552	14876	38926
553	14895	38879
554	14916	38837
555	14921	38751
556	14942	38711
557	14962	38667
558	14964	38574
559	14983	38529
560	15005	38490
561	15029	38455
562	15126	38609
563	15186	38665
564	15217	38650
565	15251	38640
566	15282	38624
567	15323	38632
568	15364	38641
569	15395	38623
570	15421	38594
571	15453	38579
572	15480	38552
573	15502	38512
574	15521	38467
575	15545	38432
576	15569	38397
577	15610	38405
578	15663	38440
579	15702	38444
580	15731	38422
581	15752	38379
582	15776	38344
583	15800	38311
584	15822	38270
585	15843	38229
586	15867	38194
587	15888	38153
588	15911	38118
589	15933	38078
590	15954	38038
591	15975	37996
592	15998	37958
593	16020	37921
594	16041	37880
595	16068	37851
596	16091	37816
597	16114	37780
598	16141	37752
599	16170	37731
600	16203	37718
601	16232	37696
602	16253	37655
603	16274	37613
604	16295	37574
605	16317	37536
606	16338	37495
607	16363	37462
608	16394	37447
609	16440	37463
610	16480	37465
611	16514	37453
612	16545	37435
613	16573	37411
614	16608	37403
615	16635	37376
616	16681	37391
617	16722	37395
618	16754	37380
619	16776	37341
620	16801	37310
621	16824	37274
622	16848	37239
623	16873	37208
624	16894	37168
625	16918	37135
626	16943	37103
627	16981	37100
628	17008	37071
629	17033	37040
630	17053	36999
631	17081	36973
632	17104	36938
633	17131	36912
634	17162	36892
635	17191	36868
636	17205	36814
637	17242	36809
638	17278	36800
639	17317	36799
640	17359	36805
641	17391	36786
642	17423	36771
643	17458	36759
644	17481	36723
645	17502	36685
646	17524	36647
647	17545	36607
648	17586	36608
649	17616	36587
650	17682	36642
651	17728	36653
652	17753	36621
653	17774	36580
654	17778	36507
655	17799	36468
656	17821	36430
657	17842	36390
658	17868	36361
659	17897	36337
660	17934	36329
661	17969	36319
662	17999	36297
663	18021	36259
664	18042	36219
665	18062	36179
666	18088	36149
667	18108	36108
668	18129	36070
669	18158	36046
670	18189	36026
671	18261	36088
672	18323	36129
673	18363	36126
674	18385	36090
675	18405	36049
676	18425	36006
677	18446	35967
678	18468	35929
679	18493	35898
680	18516	35862
681	18546	35841
682	18588	35843
683	18629	35842
684	18671	35843
685	18707	35834
686	18730	35797
687	18753	35762
688	18774	35723
689	18795	35685
690	18816	35645
691	18839	35609
692	18862	35574
693	18888	35544
694	18915	35517
695	18946	35496
696	18977	35477
697	19008	35456
698	19041	35439
699	19074	35423
700	19106	35405
701	19144	35397
702	19180	35387
703	19205	35356
704	19229	35321
705	19250	35283
706	19272	35245
707	19293	35207
708	19314	35169
709	19338	35135
710	19361	35101
711	19384	35067
712	19436	35083
713	19474	35075
714	19519	35080
715	19569	35093
716	19628	35123
717	19686	35151
718	19719	35133
719	19742	35097
720	19764	35059
721	19785	35021
722	19787	34948
723	19808	34911
724	19828	34870
725	19849	34831
726	19875	34803
727	19895	34762
728	19925	34739
729	19956	34718
730	19990	34702
731	20020	34680
732	20048	34654
733	20076	34628
734	20174	34721
735	20200	34692
736	20231	34670
737	20241	34613
738	20269	34587
739	20294	34556
740	20316	34518
741	20338	34481
742	20361	34447
743	20383	34411
744	20406	34376
745	20428	34338
746	20448	34299
747	20469	34261
748	20493	34228
749	20516	34193
750	20539	34159
751	20561	34123
752	20585	34089
753	20607	34054
754	20627	34014
755	20647	33976
756	20671	33942
757	20693	33906
758	20704	33852
759	20730	33823
760	20765	33809
761	20788	33773
762	20808	33734
763	20828	33696
764	20850	33660
765	20872	33624
766	20893	33586
767	20913	33548
768	20933	33509
769	20954	33472
770	20973	33432
771	20994	33395
772	21014	33357
773	21036	33321
774	21058	33285
775	21079	33248
776	21099	33210
777	21119	33171
778	21141	33136
779	21162	33100
780	21185	33066
781	21218	33048
782	21245	33020
783	21266	32984
784	21287	32948
785	21308	32912
786	21330	32876
787	21350	32838
788	21371	32802
789	21395	32770
790	21415	32732
791	21436	32696
792	21459	32663
793	21478	32623
794	21500	32588
795	21522	32553
796	21543	32518
797	21565	32482
798	21584	32444
799	21605	32408
800	21618	32359
801	21645	32332
802	21674	32309
803	21699	32278
804	21720	32243
805	21741	32207
806	21762	32172
807	21787	32141
808	21809	32107
809	21829	32070
810	21851	32036
811	21871	31999
812	21891	31962
813	21911	31925
814	21931	31888
815	21951	31851
816	21973	31817
817	21993	31780
818	22014	31744
819	22034	31708
820	22056	31675
821	22060	31614
822	22082	31580
823	22110	31556
824	22139	31532
825	22159	31495
826	22180	31461
827	22200	31424
828	22222	31390
829	22245	31357
830	22270	31328
831	22293	31296
832	22313	31260
833	22334	31225
834	22356	31191
835	22377	31157
836	22390	31111
837	22428	31099
838	22463	31085
839	22501	31073
840	22541	31065
841	22552	31016
842	22632	31063
843	22705	31098
844	22736	31077
845	22768	31058
846	22800	31037
847	22825	31007
848	22845	30971
849	22869	30941
850	22892	30908
851	22913	30873
852	22932	30835
853	22955	30803
854	22995	30794
855	23040	30791
856	23101	30810
857	23135	30793
858	23160	30764
859	23182	30730
860	23206	30699
861	23236	30676
862	23263	30649
863	23285	30615
864	23310	30586
865	23330	30550
866	23351	30515
867	23376	30486
868	23378	30427
869	23415	30413
870	23448	30393
871	23479	30372
872	23502	30340
873	23528	30312
874	23555	30286
875	23604	30287
876	23639	30270
877	23643	30214
878	23664	30179
879	23685	30145
880	23703	30107
881	23735	30086
882	23778	30079
883	23822	30073
884	23858	30059
885	23880	30026
886	23885	29971
887	23912	29944
888	23938	29916
889	23967	29891
890	23991	29861
891	24014	29829
892	24039	29799
893	24068	29775
894	24122	29782
895	24172	29783
896	24200	29757
897	24224	29727
898	24246	29694
899	24266	29659
900	24289	29627
901	24314	29597
902	24318	29543
903	24343	29514
904	24366	29482
905	24390	29451
906	24414	29421
907	24438	29390
908	24484	29386
909	24521	29372
910	24555	29353
911	24593	29339
912	24630	29324
913	24656	29296
914	24681	29267
915	24705	29236
916	24732	29209
917	24755	29177
918	24780	29148
919	24803	29117
920	24826	29085
921	24849	29053
922	24873	29023
923	24904	29001
924	24934	28978
925	24960	28949
926	24988	28923
927	25012	28893
928	25035	28861
929	25057	28829
930	25085	28803
931	25114	28779
932	25141	28752
933	25164	28721
934	25188	28691
935	25211	28659
936	25241	28636
937	25265	28605
938	25286	28572
939	25313	28544
940	25344	28522
941	25375	28500
942	25411	28483
943	25489	28514
944	25527	28498
945	25570	28489
946	25745	28626
947	25819	28651
948	25844	28622
949	25873	28597
950	25911	28582
951	25935	28550
952	25954	28515
953	25975	28480
954	25997	28447
955	26020	28415
956	26043	28384
957	26069	28355
958	26093	28324
959	26128	28305
960	26157	28280
961	26185	28253
962	26209	28223
963	26234	28194
964	26256	28160
965	26279	28129
966	26306	28102
967	26309	28048
968	26332	28016
969	26353	27983
970	26380	27956
971	26406	27927
972	26438	27906
973	26471	27884
974	26496	27855
975	26523	27828
976	26545	27795
977	26567	27763
978	26591	27732
979	26621	27708
980	26652	27685
981	26676	27654
982	26697	27621
983	26721	27590
984	26745	27559
985	26770	27530
986	26798	27504
987	26823	27474
988	26845	27442
989	26873	27416
990	26905	27393
991	26931	27365
992	26960	27341
993	26985	27310
994	27007	27278
995	27027	27245
996	27050	27212
997	27084	27193
998	27114	27168
999	27136	27136
1000	27156	27101
1001	27177	27069
1002	27197	27035
1003	27219	27002
1004	27242	26971
1005	27264	26939
1006	27273	26894
1007	27295	26862
1008	27314	26827
1009	27340	26798
1010	27360	26765
1011	27385	26735
1012	27408	26705
1013	27432	26674
1014	27456	26644
1015	27458	26593
1016	27480	26561
1017	27500	26527
1018	27525	26499
1019	27553	26472
1020	27577	26442
1021	27582	26395
1022	27606	26364
1023	27627	26332
1024	27647	26299
1025	27667	26265
1026	27690	26234
1027	27713	26203
1028	27732	26169
1029	27753	26136
1030	27775	26105
1031	27797	26073
1032	27818	26041
1033	27821	25992
1034	27842	25959
1035	27864	25928
1036	27887	25897
1037	27909	25866
1038	27931	25834
1039	27950	25800
1040	27971	25767
1041	28004	25747
1042	28033	25722
1043	28055	25690
1044	28076	25658
1045	28100	25628
1046	28121	25597
1047	28144	25566
1048	28164	25533
1049	28185	25500
1050	28209	25471
1051	28230	25439
1052	28254	25410
1053	28274	25377
1054	28294	25344
1055	28317	25313
1056	28340	25283
1057	28361	25251
1058	28386	25223
1059	28411	25195
1060	28434	25164
1061	28496	25169
1062	28558	25173
1063	28593	25153
1064	28623	25129
1065	28650	25103
1066	28680	25079
1067	28695	25041
1068	28716	25009
1069	28738	24978
1070	28758	24945
1071	28780	24914
1072	28806	24886
1073	28827	24854
1074	28848	24823
1075	28872	24794
1076	28893	24761
1077	28914	24730
1078	28943	24705
1079	28946	24657
1080	28974	24631
1081	28995	24600
1082	29018	24570
1083	29026	24528
1084	29037	24487
1085	29059	24456
1086	29080	24425
1087	29104	24396
1088	29124	24364
1089	29145	24332
1090	29165	24300
1091	29187	24269
1092	29207	24237
1093	29211	24191
1094	29231	24159
1095	29255	24130
1096	29276	24098
1097	29296	24066
1098	29316	24035
1099	29338	24004
1100	29361	23974
1101	29377	23939
1102	29408	23916
1103	29436	23890
1104	29463	23864
1105	29485	23833
1106	29508	23804
1107	29529	23773
1108	29549	23740
1109	29570	23709
1110	29597	23683
1111	29620	23654
1112	29644	23625
1113	29663	23592
1114	29685	23561
1115	29707	23531
1116	29729	23501
1117	29751	23471
1118	29773	23441
1119	29794	23409
1120	29817	23380
1121	29840	23351
1122	29869	23326
1123	29894	23298
1124	29916	23268
1125	29937	23237
1126	29960	23208
1127	29983	23178
1128	30004	23148
1129	30027	23118
1130	30052	23090
1131	30075	23061
1132	30096	23030
1133	30116	22998
1134	30138	22968
1135	30159	22938
1136	30180	22907
1137	30185	22864
1138	30206	22834
1139	30227	22802
1140	30251	22774
1141	30271	22743
1142	30299	22717
1143	30325	22690
1144	30349	22662
1145	30370	22632
1146	30392	22602
1147	30412	22571
1148	30433	22540
1149	30455	22510
1150	30478	22481
1151	30500	22451
1152	30522	22422
1153	30545	22392
1154	30564	22360
1155	30584	22329
1156	30611	22303
1157	30633	22273
1158	30655	22244
1159	30678	22215
1160	30699	22185
1161	30721	22155
1162	30754	22134
1163	30784	22109
1164	30813	22085
1165	30834	22054
1166	30856	22024
1167	30880	21996
1168	30901	21966
1169	30927	21940
1170	30949	21910
1171	30972	21881
1172	30998	21854
1173	31017	21823
1174	31038	21792
1175	31059	21763
1176	31086	21736
1177	31111	21709
1178	31130	21678
1179	31152	21648
1180	31172	21617
1181	31194	21588
1182	31215	21558
1183	31238	21529
1184	31273	21508
1185	31297	21480
1186	31318	21450
1187	31339	21420
1188	31363	21392
1189	31385	21362
1190	31406	21333
1191	31428	21303
1192	31448	21273
1193	31497	21262
1194	31540	21247
1195	31579	21228
1196	31612	21207
1197	31640	21181
1198	31670	21157
1199	31717	21145
1200	31748	21121
1201	31770	21092
1202	31794	21064
1203	31816	21034
1204	31837	21005
1205	31858	20975
1206	31879	20945
1207	31900	20914
1208	31920	20884
1209	31941	20854
1210	31965	20826
1211	31990	20799
1212	32016	20772
1213	32039	20743
1214	32062	20715
1215	32083	20685
1216	32105	20656
1217	32129	20628
1218	32151	20599
1219	32170	20568
1220	32191	20538
1221	32217	20511
1222	32220	20470
1223	32257	20451
1224	32277	20420
1225	32285	20382
1226	32307	20353
1227	32326	20322
1228	32349	20293
1229	32370	20264
1230	32390	20233
1231	32413	20205
1232	32433	20175
1233	32454	20146
1234	32481	20120
1235	32503	20091
1236	32525	20062
1237	32548	20033
1238	32570	20004
1239	32591	19975
1240	32611	19945
1241	32632	19915
1242	32654	19887
1243	32683	19862
1244	32709	19835
1245	32711	19794
1246	32735	19767
1247	32756	19737
1248	32777	19708
1249	32800	19680
1250	32821	19650
1251	32843	19621
1252	32865	19593
1253	32886	19564
1254	32906	19534
1255	32928	19505
1256	32950	19476
1257	32971	19447
1258	32994	19419
1259	33111	19446
1260	33151	19427
1261	33180	19403
